,State House Disctrict,TotSenVotes,DemSenVotes,RepSenVotes,TotGovVotes,DemGovVotes,RepGovVotes,TotLegVotes,DemLegVotes,RepLegVotes,%DemSen,%RepSen,DemSenMarg,DemSenMargRounded,DemSenWinner,%DemGov,%RepGov,DemGovMarg,DemGovMargRounded,DemGovWinner,%DemLeg,%RepLeg,DemLegMarg,DemLegMargRounded,DemLegWinner,ContestedLeg,Target Category,DemSenGovCompare
33,20,82520.0,25622.0,56025.0,82499.0,21236.0,59716.0,80954.0,23069.0,57885.0,31.049442559379543,67.8926320891905,-36.84318952981096,-36.84,False,25.740918071734203,72.3839076837295,-46.642989611995304,-46.64,False,28.49643007139857,71.50356992860142,-43.00713985720285,-43.01,False,True,Rep Sweep,9.799999999999997
118,21,57580.0,13397.0,43876.0,57546.0,11671.0,45324.0,46435.0,0.0,46435.0,23.266759291420634,76.20006946856547,-52.93331017714484,-52.93,False,20.281166371250826,78.76133875508289,-58.48017238383206,-58.48,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,5.549999999999997
117,22,42985.0,28777.0,14017.0,43006.0,27193.0,15399.0,31441.0,31441.0,0.0,66.94660928230778,32.60904966848901,34.33755961381877,34.34,True,63.23071199367531,35.80663163279542,27.424080360879884,27.42,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,6.920000000000002
40,23,58883.0,25922.0,32517.0,58812.0,23308.0,34504.0,58366.0,24181.0,32951.0,44.02289285532327,55.223069476759,-11.20017662143573,-11.2,False,39.631367748078624,58.66829898660137,-19.036931238522747,-19.04,False,41.4299420895727,56.455813315971625,-15.025871226398927,-15.03,False,True,Rep Sweep,7.84
83,24,69920.0,22069.0,47270.0,69791.0,18466.0,50105.0,69036.0,19586.0,48045.0,31.56321510297483,67.6058352402746,-36.04262013729977,-36.04,False,26.458999011333837,71.79292458913041,-45.33392557779657,-45.33,False,28.370705139347585,69.59412480444985,-41.22341966510226,-41.22,False,True,Rep Sweep,9.29
27,25,51894.0,15259.0,36236.0,51880.0,13306.0,37889.0,40902.0,0.0,40902.0,29.404170038925503,69.82695494662195,-40.42278490769645,-40.42,False,25.64764841942945,73.03199691595991,-47.38434849653046,-47.38,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,6.960000000000001
79,26,67046.0,33843.0,32789.0,66833.0,29029.0,36899.0,65834.0,31330.0,34504.0,50.47728425260269,48.90522924559258,1.572055007010114,1.57,True,43.435129352266095,55.21074918079392,-11.775619828527823,-11.78,False,47.589391499832914,52.410608500167086,-4.8212170003341726,-4.82,False,True,Dem Target,13.35
82,27,65395.0,47484.0,17563.0,65199.0,42795.0,21429.0,47450.0,47450.0,0.0,72.61105589112317,26.85679333282361,45.75426255829956,45.75,True,65.63750977775733,32.86706851332076,32.77044126443657,32.77,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,12.979999999999997
81,28,83228.0,40019.0,42636.0,83121.0,34749.0,47166.0,81998.0,37584.0,44414.0,48.083577642139666,51.227952131494206,-3.14437448935454,-3.14,False,41.80531995524597,56.74378315949038,-14.938463204244407,-14.94,False,45.83526427473841,54.16473572526159,-8.329471450523187,-8.33,False,True,Rep Sweep,11.799999999999999
28,29,70316.0,33018.0,36787.0,70150.0,28903.0,40189.0,46810.0,0.0,46810.0,46.95659593833552,52.31668468058479,-5.360088742249275,-5.36,False,41.20171062009979,57.29009265858874,-16.08838203848895,-16.09,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,10.73
124,3,64510.0,16319.0,47762.0,64633.0,14190.0,49671.0,63971.0,15352.0,48619.0,25.2968532010541,74.03813362269416,-48.74128042164006,-48.74,False,21.95472900840128,76.85083471291755,-54.896105704516266,-54.9,False,23.998374263338075,76.00162573666192,-52.00325147332384,-52.0,False,True,Rep Sweep,6.159999999999997
3,30,53800.0,14664.0,38816.0,53922.0,12979.0,40321.0,53083.0,13430.0,39653.0,27.256505576208177,72.14869888475836,-44.89219330855018,-44.89,False,24.069952894922295,74.7765290604948,-50.7065761655725,-50.71,False,25.30000188384228,74.69999811615772,-49.39999623231543,-49.4,False,True,Rep Sweep,5.82
6,31,40188.0,21848.0,17970.0,39382.0,18752.0,20258.0,27391.0,27391.0,0.0,54.364486911515876,44.71484025082114,9.649646660694735,9.65,True,47.615661977553195,51.43974404550302,-3.824082067949824,-3.82,False,100.0,0.0,100.0,100.0,True,False,Dem Sweep,13.47
127,32,52505.0,24691.0,27374.0,52424.0,20413.0,31191.0,38359.0,0.0,38359.0,47.02599752404532,52.13598704885249,-5.109989524807169,-5.11,False,38.93827254692507,59.49755837021211,-20.55928582328704,-20.56,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,15.45
45,33,85117.0,32503.0,51929.0,84815.0,26831.0,56584.0,82819.0,28974.0,53845.0,38.186261263907326,61.00896413172456,-22.822702867817235,-22.82,False,31.634734421977246,66.7146141602311,-35.07987973825385,-35.08,False,34.984725727188206,65.0152742728118,-30.03054854562359,-30.03,False,True,Rep Sweep,12.259999999999998
126,34,41562.0,22701.0,18582.0,41526.0,19307.0,21727.0,41311.0,25246.0,16065.0,54.61960444636927,44.70910928251769,9.910495163851586,9.91,True,46.493762943697924,52.321437171892306,-5.8276742281943825,-5.83,False,61.112052479969016,38.887947520030984,22.224104959938032,22.22,True,True,Dem Sweep,15.74
36,35,32479.0,20587.0,11693.0,32304.0,18432.0,13538.0,23351.0,23351.0,0.0,63.38557221589335,36.00172419101573,27.383848024877615,27.38,True,57.05794947994056,41.908122833085685,15.149826646854876,15.15,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,12.229999999999999
113,36,31653.0,23010.0,8471.0,31500.0,20913.0,10228.0,25971.0,25971.0,0.0,72.69453132404512,26.762076264493096,45.93245505955202,45.93,True,66.39047619047619,32.46984126984127,33.920634920634924,33.92,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,12.009999999999998
34,37,28371.0,18841.0,9312.0,28232.0,16397.0,11365.0,20314.0,20314.0,0.0,66.40936167212999,32.82224807021254,33.58711360191745,33.59,True,58.07948427316521,40.2557381694531,17.823746103712104,17.82,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,15.770000000000003
35,38,34196.0,21849.0,12104.0,34007.0,18816.0,14722.0,25019.0,25019.0,0.0,63.893437828985846,35.39595274301088,28.497485085974965,28.5,True,55.329785044255594,43.29108712912048,12.038697915135117,12.04,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,16.46
112,39,32189.0,22415.0,9598.0,32013.0,20178.0,11486.0,25822.0,25822.0,0.0,69.635589797757,29.81763956631147,39.817950231445536,39.82,True,63.030643800955865,35.87917408552775,27.151469715428114,27.15,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,12.670000000000002
111,4,60803.0,16518.0,43862.0,60924.0,14158.0,45952.0,60279.0,14581.0,44669.0,27.166422709405786,72.1378879331612,-44.97146522375541,-44.97,False,23.238789311273063,75.42511982141684,-52.186330510143776,-52.19,False,24.189186947361435,74.10375089168699,-49.91456394432555,-49.91,False,True,Rep Sweep,7.219999999999999
115,40,30011.0,21331.0,8519.0,29862.0,19165.0,10381.0,24252.0,24252.0,0.0,71.07727166705541,28.38625837193029,42.691013295125124,42.69,True,64.1785546848838,34.763244256915144,29.415310427968663,29.42,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,13.269999999999996
114,41,40768.0,25153.0,15382.0,40619.0,22025.0,18108.0,40339.0,24804.0,15535.0,61.69790031397174,37.73057299843014,23.967327315541603,23.97,True,54.22339299342672,44.58012260272287,9.643270390703854,9.64,True,61.48888172736062,38.511118272639386,22.977763454721234,22.98,True,True,Dem Sweep,14.329999999999998
147,42,34114.0,22054.0,9408.0,34475.0,21517.0,12125.0,34273.0,23493.0,10780.0,64.64794512516855,27.578120419769007,37.06982470539954,37.07,True,62.413343002175495,35.170413343002174,27.24292965917332,27.24,True,68.54666938989875,31.453330610101244,37.093338779797506,37.09,True,True,Dem Sweep,9.830000000000002
10,43,43930.0,19375.0,24278.0,43728.0,16335.0,26890.0,43344.0,16854.0,26490.0,44.10425677213749,55.26519462781698,-11.160937855679492,-11.16,False,37.35592755214051,61.49377972923528,-24.13785217709477,-24.14,False,38.8842746400886,61.11572535991141,-22.23145071982281,-22.23,False,True,Rep Sweep,12.98
85,44,72290.0,24646.0,46963.0,72106.0,21065.0,49988.0,70957.0,22253.0,48704.0,34.09323557891825,64.96472541153686,-30.871489832618614,-30.87,False,29.213935040079882,69.32571491970155,-40.11177987962167,-40.11,False,31.361246952379613,68.6387530476204,-37.27750609524078,-37.28,False,True,Rep Sweep,9.239999999999998
23,45,85550.0,47151.0,37488.0,85317.0,40836.0,42222.0,83735.0,43205.0,40530.0,55.115137346580944,43.81998831092928,11.295149035651662,11.3,True,47.86384893983614,49.4883786349731,-1.6245296951369639,-1.62,False,51.59730100913597,48.40269899086403,3.1946020182719366,3.19,True,True,Dem Sweep,12.920000000000002
143,46,58092.0,49245.0,8293.0,57702.0,45723.0,10483.0,57026.0,46893.0,8525.0,84.77070853129518,14.275631756524135,70.49507677477105,70.5,True,79.2398876988666,18.16748119649232,61.07240650237428,61.07,True,82.23091221548066,14.94932136218567,67.28159085329499,67.28,True,True,Dem Sweep,9.43
146,47,107527.0,58998.0,47379.0,106828.0,49898.0,54220.0,105551.0,55307.0,50244.0,54.86807964511239,44.06242153133631,10.805658113776076,10.81,True,46.708728048826146,50.75448384318718,-4.045755794361035,-4.05,False,52.39836666635086,47.60163333364913,4.796733332701727,4.8,True,True,Dem Sweep,14.86
145,48,91985.0,67394.0,23576.0,91015.0,58668.0,29540.0,67952.0,67952.0,0.0,73.26629341740501,25.63026580420721,47.6360276131978,47.64,True,64.45970444432237,32.45618854035049,32.00351590397188,32.0,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,15.64
144,49,96094.0,81344.0,13747.0,94696.0,72795.0,19092.0,92587.0,76851.0,15736.0,84.65044643786293,14.305783919911752,70.34466251795118,70.34,True,76.87230717242545,20.16135845231055,56.7109487201149,56.71,True,83.00409344724422,16.995906552755784,66.00818689448843,66.01,True,True,Dem Sweep,13.630000000000003
37,5,56626.0,12173.0,44101.0,56704.0,10895.0,45268.0,56200.0,11608.0,44592.0,21.497192102567723,77.88118532123053,-56.38399321866281,-56.38,False,19.213812076749438,79.83211060948081,-60.61829853273137,-60.62,False,20.654804270462634,79.34519572953737,-58.69039145907473,-58.69,False,True,Rep Sweep,4.239999999999995
142,50,72258.0,51868.0,19493.0,71812.0,46548.0,23272.0,52652.0,52652.0,0.0,71.78167123363502,26.976943729414042,44.80472750422098,44.8,True,64.81925026457974,32.406840082437476,32.41241018214226,32.41,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,12.39
141,51,58248.0,50923.0,6790.0,56101.0,45573.0,9025.0,48842.0,48842.0,0.0,87.42446092569702,11.65705260266447,75.76740832303256,75.77,True,81.23384609900002,16.08705727170639,65.14678882729363,65.15,True,100.0,0.0,100.0,100.0,True,False,Dem Sweep,10.61999999999999
148,52,72663.0,40476.0,31334.0,72410.0,34775.0,35791.0,63379.0,32254.0,31125.0,55.70372816977004,43.12235938510659,12.581368784663447,12.58,True,48.025134649910235,49.428255765778204,-1.4031211158679682,-1.4,False,50.89067356695436,49.109326433045645,1.7813471339087172,1.78,True,True,Dem Sweep,13.98
8,53,65435.0,15528.0,49341.0,65698.0,12886.0,52007.0,64798.0,14015.0,50783.0,23.73041950026744,75.40459998471766,-51.67418048445022,-51.67,False,19.613991293494475,79.16070504429359,-59.546713750799114,-59.55,False,21.62875397388808,78.37124602611192,-56.74249205222384,-56.74,False,True,Rep Sweep,7.8799999999999955
12,54,48728.0,23860.0,24425.0,48698.0,21323.0,26556.0,48394.0,22357.0,26037.0,48.965687079297325,50.125184698735836,-1.1594976194385112,-1.16,False,43.78619245143538,54.532013635056884,-10.745821183621501,-10.75,False,46.19787576972352,53.80212423027648,-7.6042484605529665,-7.6,False,True,Rep Sweep,9.59
11,55,45319.0,16126.0,28848.0,45217.0,13823.0,30674.0,34297.0,0.0,34297.0,35.58330942871643,63.65542046382312,-28.072111035106687,-28.07,False,30.570360705044564,67.8373178229427,-37.26695711789813,-37.27,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,9.200000000000003
122,56,58032.0,20519.0,37075.0,58107.0,17466.0,39759.0,57606.0,19713.0,37893.0,35.35807830162669,63.88716570168184,-28.529087400055147,-28.53,False,30.058340647426302,68.42376994165934,-38.36542929423304,-38.37,False,34.220393708988645,65.77960629101135,-31.559212582022703,-31.56,False,True,Rep Sweep,9.839999999999996
2,57,49115.0,11698.0,37159.0,48981.0,10551.0,38019.0,48775.0,10388.0,38387.0,23.817571006820724,75.65713122264074,-51.839560215820015,-51.84,False,21.541005696086238,77.61989342806395,-56.07888773197771,-56.08,False,21.29779600205023,78.70220399794977,-57.40440799589953,-57.4,False,True,Rep Sweep,4.239999999999995
25,58,59591.0,13785.0,45289.0,59522.0,11209.0,47433.0,49255.0,0.0,49255.0,23.132687821986543,75.99973150307933,-52.86704368109279,-52.87,False,18.831692483451498,79.68986257182218,-60.85817008837068,-60.86,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,7.990000000000002
50,59,48941.0,10656.0,37889.0,48996.0,9063.0,39306.0,41261.0,0.0,41261.0,21.773155432050835,77.41770703500133,-55.64455160295049,-55.64,False,18.497428361498898,80.22287533676219,-61.72544697526329,-61.73,False,0.0,100.0,-100.0,-100.0,False,False,Rep Sweep,6.089999999999996
129,6,57946.0,18966.0,38633.0,57781.0,16810.0,40249.0,49167.0,0.0,37172.0,32.730473199185454,66.67069340420392,-33.94022020501846,-33.94,False,29.092608296844986,69.65784600474204,-40.565237707897055,-40.57,False,0.0,75.60355523013403,-75.60355523013403,-75.6,False,False,Rep Sweep,6.630000000000003
