CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"0410010",1282,765
"0410011",627,762
"0410012",1536,966
"0410013",837,494
"0410014",257,675
"0410015",1256,576
"0410016",102,331
"0410017",626,809
"0410018",31,190
"0410019",57,63
"0410020",845,1196
"0410021",301,508
"0410022",62,97
"0410023",51,7
"0410024",670,619
"0410025",47,341
"0410026",1278,533
"0410027",1664,355
"0410028",212,23
"0410029",340,182
"0410030",461,564
"0410031",1257,1097
"0410032",0,0
"0410033",234,443
"0410034",927,1191
"0410035",1424,2096
"0410036",1004,850
"0410037",95,12
"0410038",8,101
"0410039",1516,1116
"0410040",1999,1064
"0410041",2261,821
"0410042",0,0
"0410043",4,9
"0410044",56,10
"0410045",45,17
"0410046",100,70
"0410047",102,87
"0410048",101,29
"0410049",49,130
"0410052",10,2
"0410053",0,1
"0410056",5,3
"0410057",27,71
"0410058",229,143
"0410059",12,3
"0410060",60,8
"0410061",30,8
"0410062",1,0
"0410063",2167,837
"0410064",0,0
"0410065",69,15
"0410067",94,37
"0410068",0,0
"0410069A",1798,871
"0410069B",6,3
"0410070",240,208
"0410071",66,13
"0410072",8,6
"0410074",71,142
"0410077",111,81
"0410078",108,21
"0410079",21,22
"0410080A",1456,584
"0410080B",5,2
"0410081",21,14
"0410082",156,50
"0410083",0,0
"0430001",697,458
"0430002",317,387
"0430003",111,131
"0430004",412,456
"0430005",26,50
"0430006",176,208
"0430007",14,51
"0430008",136,319
"0450001",71,8
"0450002",141,19
"0450003",133,12
"0450004",173,18
"0450006",29,6
"0470001",37,125
"0470002",56,215
"0470003",81,264
"0470004",32,64
"0470005",17,26
"0470006",53,282
"0470007",25,43
"0470008",68,198
"0470009",46,146
"0490101",1188,195
"0490105",838,132
"0490109",163,12
"0490113",899,131
"0490202",431,112
"0490204",316,139
"0490212",434,54
"0490214",353,55
"0490215",157,9
"0490303",498,108
"0490306",919,101
"0490307",372,41
"0490308",310,23
"0490316",139,10
"0490318",836,105
"0490410",1197,138
"0490411",416,132
"0490417",1001,118
"0510113",351,54
"0510114",650,241
"0510203",202,55
"0510204",364,60
"0510207",164,85
"0510211",483,106
"0510215",176,46
"0510301",600,162
"0510305",284,68
"0510308",220,59
"0510309",399,81
"0510406",324,232
"0510410",839,211
"0530001",797,151
"0530002",1173,400
"0530003",436,182
"0530004",1086,385
"0530005",508,189
"0530006",294,95
"0530007",338,82
"0530008",602,130
"0530009",1339,324
"0530010",680,183
"0530011",220,27
"0530012",778,218
"0530013",411,135
"0530014",282,55
"0530015",348,89
"0530016",252,60
"0530017",908,189
"0530018",472,188
"0530019",1857,496
"0530020",1430,577
"0550100",118,148
"0550101",172,213
"0550102",277,120
"0550103",657,569
"0550104",199,89
"0550105",21,38
"0550107",0,0
"0550108",27,28
"0550109",12,1
"0550110",36,27
"0550111",251,243
"0550112",0,0
"0550113",0,0
"0550114",0,0
"0550115",0,0
"0550116",0,0
"0550117",0,0
"0550118",45,34
"0550201",294,170
"0550202",398,200
"0550203",430,160
"0550204",568,186
"0550205",145,29
"0550206",262,177
"0550301",258,295
"0550302",355,398
"0550303",251,196
"0550305",155,96
"0550306",75,88
"0550307",0,0
"0550400",24,19
"0550401",112,286
"0550402",284,548
"0550404",334,382
"0550405",348,245
"0550407",2,4
"0550408",2,6
"0550409",13,5
"0550410",0,0
"0550412",50,94
"0570001",39,109
"0570002",128,203
"0570003",9,20
"0570004",114,98
"0570005",116,31
"0570006",210,63
"0570007",118,137
"0570008",58,116
"0570009",9,14
"0570010",40,29
"0570011",144,50
"0570012",530,195
"0570013",7,11
"0570014",44,34
"0570015",50,45
"0570016",318,187
"0570017",215,130
"0570018",133,50
"0570019",264,49
"0570020",19,11
"0570021",55,21
"0570022",123,35
"0570023",128,43
"0570024",613,136
"0570025",498,83
"0590001",1046,155
"0590002",912,118
"0590003",969,131
"0590004",795,56
"0590005",74,7
"0590006",362,50
"0590007",243,32
"0610001",372,423
"0610002",162,99
"0610003",300,559
"0610004",615,777
"0610005",46,156
"0610006",62,313
"0610007",30,110
"0610008",33,135
"0610009",141,521
"0610010",102,393
"0610011",158,451
"0610012",345,611
"0610013",62,151
"0610014",228,553
"0610015",255,591
"0610016",199,238
"0610017",339,790
"0610018",254,546
"0610019",208,409
"0610020",310,241
"0610021",259,530
"0610022",235,558
"0610023",45,39
"0610024",100,280
"0610025",92,180
"0610026",577,569
"0610027",225,645
"0610028",254,317
"0610029",676,509
"0610030",286,212
"0610031",53,84
"0610032",478,544
"0610033",71,139
"0610034",45,53
"0610035",313,283
"0610036",356,458
"0610037",80,362
"0610038",159,207
"0610039",113,271
"0610040",293,540
"0610041",368,987
"0610042",94,271
"0610043",126,258
"0610044",906,700
"0610045",141,470
"0610046",380,933
"0610047",82,253
"0610048",227,373
"0610049",115,158
"0610050",798,970
"0610051",118,222
"0610052",743,447
"0610053",191,717
"0610054",516,1270
"0610055",406,788
"0610056",445,416
"0610057",151,135
"0610058",633,637
"0610059",53,134
"0610060",95,193
"0610061",308,610
"0610062",294,797
"0610063",186,525
"0610064",526,535
"0610065",374,625
"0610066",810,893
"0610067",911,638
"0610068",151,498
"0610069",263,903
"0610070",65,257
"0610071",220,850
"0610072",400,852
"0610073",497,1121
"0610074",357,954
"0610075",200,754
"0610076",181,315
"0610077",168,687
"0610078",577,652
"0610079",608,669
"0610080",1167,886
"0610081",247,324
"0610082",160,516
"0610083",231,263
"0610084",485,454
"0610085",263,245
"0610086",130,328
"0610087",539,366
"0610095",107,215
"0610096",100,383
"0610097",55,182
"0610098",633,1457
"0610099",58,75
"0610100",648,1394
"0610101",112,214
"0610102",313,491
"0610103",40,81
"0610104",24,44
"0610105",6,19
"0610106",375,641
"0610107",58,151
"0610108",0,0
"0610109",0,0
"0631001",669,271
"0632002",924,242
"0633003",419,375
"0634004",739,219
"0650101",265,31
"0650102",49,1
"0650103",205,36
"0650201",548,57
"0650301",356,39
"0650302",173,18
"0650401",393,58
"0650402",170,5
"0670001",1303,355
"0670002",177,54
"0670004",160,72
"0670005",382,87
"0670006",253,30
"0670007",785,211
"0670009",413,154
"0670011",248,101
"0670012",311,129
"0670014",936,181
"0670015",296,38
"0670016",237,29
"0670017",1426,259
"0670018",288,15
"0670019",226,28
"0670021",140,16
"067013T",419,309
"067020E",117,17
"0690101",108,110
"0690105",23,5
"0690201",119,121
"0690206",67,13
"0690301",371,87
"0690307",74,9
"0690401",78,55
"0690408",318,27
"0710001",284,61
"0710002",257,140
"0710003",162,101
"0710004",1806,235
"0710005",1208,186
"0710006",813,254
"0710007",935,197
"0710008",2202,318
"0710009",148,30
"0710010",2068,306
"0710011",932,286
"0710012",511,185
"0710013",0,0
"0710014",180,34
"0710015",681,435
"0730012",578,133
"0730013",559,59
"0730014",734,71
"0730015",1158,408
"0730022",231,77
"0730023",524,67
"0730024",646,229
"0730025",409,91
"0730026",389,160
"0730027",489,149
