CNTYVTD,BlacklockR_18G_Sup Ct 2,KirklandD_18G_Sup Ct 2
"2010506",303,1694
"2010507",165,524
"2010508",624,1414
"2010509",1638,1203
"2010510",785,1312
"2010511",2235,1850
"2010512",748,1489
"2010513",1327,653
"2010514",1611,959
"2010515",1591,542
"2010516",672,815
"2010517",779,1213
"2010518",1200,1055
"2010519",1045,591
"2010520",260,1624
"2010521",698,972
"2010522",1278,554
"2010523",1030,838
"2010524",482,1298
"2010525",375,1391
"2010526",73,266
"2010527A",74,97
"2010527B",0,0
"2010528",2,27
"2010529",1791,389
"2010530",86,400
"2010531",967,337
"2010532",342,194
"2010533",187,214
"2010534",1450,688
"2010535",44,110
"2010536",863,1862
"2010537",1553,680
"2010538",12,424
"2010539",390,459
"2010540",411,1067
"2010541",344,2222
"2010542",84,1235
"2010543",179,584
"2010544",10,100
"2010545",1062,1342
"2010546",1343,317
"2010547",915,522
"2010548",459,702
"2010549",138,1106
"2010550",495,815
"2010551",2263,909
"2010552",1978,611
"2010553",432,879
"2010554",151,584
"2010555",135,664
"2010556",212,766
"2010557",365,831
"2010558",637,1598
"2010559",453,1816
"2010560",83,348
"2010561",812,573
"2010562",32,239
"2010563",1572,633
"2010564",349,1547
"2010565",68,305
"2010566",314,1068
"2010567",296,854
"2010568",1321,975
"2010569",1046,1532
"2010570",239,709
"2010571",181,479
"2010572",642,1121
"2010573",11,593
"2010574",16,121
"2010575",1057,1082
"2010576",70,1176
"2010577",613,559
"2010578",746,609
"2010579",69,350
"2010580",14,364
"2010581",8,459
"2010582",43,561
"2010583",22,449
"2010584",30,359
"2010585",53,776
"2010586",1089,1001
"2010587",393,1057
"2010588",1382,904
"2010589",753,1102
"2010590",1055,410
"2010591",207,674
"2010592",136,546
"2010593",846,1313
"2010594",352,1035
"2010595",94,630
"2010596",627,886
"2010597",504,1023
"2010598",779,1931
"2010599",500,1125
"2010600",645,1451
"2010601",1800,861
"2010602",548,310
"2010603",1350,1311
"2010604",1636,333
"2010605",402,1552
"2010606",8,335
"2010607",24,211
"2010608",54,132
"2010609",1329,1158
"2010610",359,648
"2010611",34,945
"2010612",1553,618
"2010613",176,972
"2010614",620,1595
"2010615",590,660
"2010616",1333,925
"2010617",578,1477
"2010618",710,1230
"2010619",2117,1068
"2010620",890,996
"2010621",243,419
"2010622",1265,1276
"2010623",1190,923
"2010624",316,116
"2010625",572,596
"2010626",1301,1412
"2010627",350,1017
"2010628",375,753
"2010629",21,164
"2010630",214,2847
"2010631",1051,646
"2010632",1,2
"2010633",1657,960
"2010634",830,795
"2010635",1329,571
"2010636",2570,356
"2010637",301,1040
"2010638",76,865
"2010639",1068,354
"2010640",975,1034
"2010641",1115,910
"2010642",863,321
"2010643",899,1268
"2010644",1292,1179
"2010645",860,1728
"2010646",308,829
"2010647",479,1158
"2010648",1351,760
"2010649",527,1567
"2010650",1613,945
"2010651",978,1113
"2010652",237,1311
"2010653",42,187
"2010654",1406,1513
"2010655",1145,1219
"2010656",55,1139
"2010657",244,550
"2010658",886,676
"2010659",2086,1048
"2010660",162,1568
"2010661",1068,1367
"2010662",1947,575
"2010663",705,896
"2010664",210,924
"2010665",1174,344
"2010666",0,0
"2010667",929,436
"2010668",1167,985
"2010669",1429,815
"2010670",1620,542
"2010671",845,885
"2010672",1164,697
"2010673",1370,390
"2010674",1824,857
"2010675",0,1
"2010676",457,908
"2010677",133,449
"2010678",105,1119
"2010679",1290,706
"2010680",38,76
"2010681",20,40
"2010682",1662,719
"2010683",25,103
"2010684",1088,909
"2010685",50,52
"2010686",17,58
"2010687",1071,694
"2010688",1999,674
"2010689",485,801
"2010690",1626,662
"2010691",1817,643
"2010692",1138,539
"2010693",81,293
"2010694",400,769
"2010695",427,335
"2010696",519,386
"2010697",361,1191
"2010698",151,1349
"2010699",880,623
"2010700",685,147
"2010701",90,164
"2010702",27,176
"2010703",842,408
"2010704",1508,376
"2010705",42,306
"2010706",508,931
"2010707",249,198
"2010708",63,141
"2010709",1161,1315
"2010710",639,798
"2010711",1083,1364
"2010712",639,1463
"2010713",426,604
"2010714",48,75
"2010715",280,418
"2010716",888,437
"2010717",128,907
"2010718",1807,1217
"2010719",332,362
"2010720",1718,1050
"2010721",1050,759
"2010722",140,1996
"2010723",185,813
"2010724",361,226
"2010725",404,652
"2010726",1214,195
"2010727",288,878
"2010728",263,263
"2010729",125,137
"2010730",913,671
"2010731A",575,973
"2010731B",282,474
"2010732",631,520
"2010733",22,68
"2010734",1691,1062
"2010735",138,132
"2010736",0,12
"2010737",16,11
"2010738",91,401
"2010739",461,650
"2010740",170,165
"2010741",251,780
"2010742",1075,794
"2010743",26,50
"2010744",678,615
"2010745",819,676
"2010746",140,205
"2010747",796,1363
"2010748",273,382
"2010749",25,98
"2010750",180,168
"2010751",2043,1610
"2010752",471,263
"2010753",98,169
"2010754",24,395
"2010755",808,1618
"2010756",248,591
"2010757",314,1936
"2010758",1900,701
"2010759",805,770
"2010760A",0,0
"2010760B",1053,314
"2010761",772,392
"2010762",580,818
"2010763",136,417
"2010764A",585,511
"2010764B",865,758
"2010765",666,1786
"2010766",38,139
"2010767",16,23
"2010768",1173,460
"2010769",10,66
"2010770",40,79
"2010771",230,375
"2010772",2039,984
"2010773",582,1490
"2010774",33,130
"2010775",5,30
"2010776",880,794
"2010777",60,156
"2010778",0,0
"2010779",69,248
"2010780",78,161
"2010781",496,1066
"2010782",706,564
"2010783",19,274
"2010784",11,418
"2010785",888,1094
"2010786",125,363
"2010787",58,173
"2010788",2,1
"2010789",855,744
"2010790",416,981
"2010791",2,11
"2010792",190,664
"2010793",555,571
"2010794A",62,592
"2010794B",0,0
"2010795",133,400
"2010796",577,1022
"2010797",0,0
"2010798",111,223
"2010799",10,65
"2010800",1267,992
"2010801",41,88
"2010802",3,14
"2010803",1844,1018
"2010804",1527,1768
"2010805",1376,467
"2010806",790,561
"2010807",134,757
"2010808",54,198
"2010809",19,9
"2010810",10,43
"2010811",31,107
"2010812",0,0
"2010813",742,1298
"2010814",429,1843
"2010815",0,0
"2010816",5,16
"2010817",2018,1034
"2010818",49,205
"2010819",46,43
"2010820",0,0
"2010821",59,328
"2010822",30,592
"2010823",725,813
"2010824",241,1017
"2010825",4,7
"2010826",98,143
"2010827",97,249
"2010828",964,330
"2010829",21,44
"2010830",0,0
"2010831",3,7
"2010832",28,114
"2010833",1,5
"2010834",16,123
"2010835",29,83
"2010836",10,127
"2010837",0,3
"2010838",0,0
"2010839",89,388
"2010840",290,614
"2010841",372,1326
"2010842",550,1013
"2010843",124,646
"2010844",0,5
"2010845",86,52
"2010846",7,74
"2010847",239,929
"2010848",292,782
"2010849",297,812
"2010850",43,85
"2010851",1384,841
"2010852",0,0
"2010853",1342,549
"2010854",5,59
"2010855",4,1
"2010856",0,0
"2010857",0,0
"2010858",3,134
"2010859",96,357
"2010860",0,0
"2010861",134,778
"2010862A",1063,868
"2010862B",66,55
"2010862C",92,76
"2010862D",0,0
"2010863",15,174
"2010864",212,801
"2010865",1,8
"2010866",0,0
"2010867",0,0
"2010868",248,753
"2010869",26,137
"2010870",0,0
"2010871",1,3
"2010872",6,7
"2010873",85,283
"2010874",1418,669
"2010875",975,1279
"2010876",1622,881
"2010877",727,1528
"2010878",624,236
"2010879",535,854
"2010880",1164,546
"2010881",773,2619
"2010882",617,1735
"2010883",350,2208
"2010884",23,145
"2010885",877,837
"2010886",213,282
"2010887",112,193
"2010888",317,753
"2010889",28,126
"2010890",257,553
"2010891",297,547
"2010892",148,503
"2010893",0,1
"2010894",126,918
"2010895",219,412
"2010896",344,884
"2010897",489,613
"2010898",322,689
"2010899",449,388
"2010900",1,6
"2010901",0,0
"2010902",808,1014
"2010903",1193,476
"2010904",0,0
"2010905",151,268
"2010906",11,9
"2010907",2,67
"2010908",0,2
"2010909",0,9
"2010910",20,50
"2010911",174,126
"2010912",453,329
"2010913",23,114
"2010914",8,26
"2010915",0,0
"2010916",1357,520
"2010917",3,21
"2010918",1,1
"2010919",0,0
"2010920",25,22
"2010921",3,23
"2010922",0,0
"2010923",1745,715
"2010924",0,0
"2010925",0,0
"2010926",438,236
"2010927",558,665
"2010928",0,3
"2010929",0,0
"2010930",9,174
"2010931",36,47
"2010932",0,0
"2010933",90,293
"2010934",3,5
"2010935",6,10
"2010936",8,13
"2010937",0,0
"2010938",24,81
"2010939",0,1
"2010940",1,8
"2010941",148,220
"2010942",74,47
"2010943",57,155
"2010944",0,1
"2010945",2,7
"2010946",2,4
"2010947",249,345
"2010948",0,0
"2010949",65,69
"2010950A",0,0
"2010950B",0,0
"2010951",26,118
"2010952",27,21
"2010953",0,1
"2010954",0,0
"2010955",2772,1513
"2010956",0,0
"2010957",36,265
"2010958",91,444
"2010959",0,0
"2010960",169,794
"2010961",136,807
"2010962",7,39
"2010963",123,210
"2010964",1378,1249
"2010965",83,29
"2010966",109,368
"2010967",16,60
"2010968",117,593
"2010969",7,318
"2010970",24,206
"2010971",0,0
"2010972",0,0
"2010973",365,300
"2010974",0,0
"2010975",54,67
"2010976",122,158
"2010977",81,155
"2010978",0,0
"2010979",0,0
"2010980",624,312
"2010981",0,15
"2010982",2053,862
"2010983",38,69
"2010984",10,85
"2010985",98,118
"2010986",26,139
"2010987",41,483
"2010988",53,13
"2010989",0,0
"2010990",7,5
"2010991",0,0
"2010992",221,310
"2010993",0,0
"2010994",24,70
"2010995",82,843
"2010996",210,190
"2010997",72,511
"2010998",20,15
"2010999",0,0
"2011000",21,124
"2011001",139,534
"2011002",81,483
"2011003",0,0
"2011004",182,250
"2011005",0,0
"2011006",0,0
"2011007",186,732
"2011008",504,158
"2011009",0,0
"2011010",66,404
"2011011",7,9
"2011012",191,567
"2030001",809,387
"2030002",267,511
"2030003",68,747
"2030004",512,328
"2030005",422,109
"2030006",623,146
"2030007",366,148
"2030008",1124,390
"2030009",519,248
"2030010",466,130
"2030011",174,99
"2030012",2247,357
"2030013",765,83
"2030014",592,167
"2030015",570,61
"2030016",275,57
"2030017",400,399
"2030018",391,74
"2030019",1414,321
"2030020",979,281
"2030021",274,126
"2030022",333,470
"2030023",302,16
"2030024",261,56
"2030025",1693,287
"2030026",255,48
"2050101",160,19
"2050102",98,6
"2050201",135,12
"2050202",273,25
"2050301",427,36
"2050401",332,50
"2070001",157,42
"2070002",258,59
"2070003",215,62
"2070004",95,31
"2070005",142,45
"2070006",145,21
"2070007",42,7
"2070008",49,22
"2070009",106,20
"2070010",70,15
"2090110",439,605
"2090111",50,146
"2090112",246,846
"2090113",522,1671
"2090120",528,2221
"2090125",498,901
"2090127",1205,1700
"2090129",898,1744
"2090221",1212,1490
"2090223",485,785
"2090224",2273,2163
"2090225",626,393
"2090226",987,866
"2090228",1641,2954
"2090229",249,559
"2090230",467,403
"2090232",797,491
"2090234",188,294
"2090236",520,307
"2090238",13,15
"2090301",0,0
"2090315",1250,917
"2090316",390,464
"2090317",53,199
"2090318",18,48
"2090330",251,734
"2090332",608,1580
"2090333",1614,1202
"2090334",347,1513
"2090335",1338,919
"2090336",918,1659
"2090337",2043,1381
"2090339",526,261
"2090413",103,512
"2090414",140,640
"2090415",212,1011
"2090416",18,30
"2090417",510,549
"2090418",1,1
"2090419",520,556
"2090420",293,248
"2090421A",15,10
"2090421B",7,4
"2090440",861,541
"2090441A",1238,776
"2090441B",2,1
"2090442",922,999
"2090443",2153,1641
"2090444",2456,1750
"2090447",627,704
"2090449",1574,961
"2110101",220,44
"2110201",219,42
"2110202",17,2
"2110301",336,43
"2110302",28,2
"2110303",66,9
"2110401",185,17
"2110402",64,14
"2130002",284,64
"2130003",174,361
"2130004",1388,403
"213001A",686,151
"213001M",731,264
"213001T",694,179
"213002E",949,166
"213003B",1265,199
"213003C",2002,375
"213003M",627,124
"213003N",847,150
"213004A",225,132
"213004W",497,95
"21301CR",1197,186
"21301MN",544,160
"21301TC",1117,268
"21303WS",634,124
"21304BV",392,83
"21304CC",681,208
"21304MS",115,140
"21304PF",235,49
"21304SE",1511,329
"2132GBN",1261,315
"2132GBS",798,179
"2132PSN",1222,307
"2132PSS",656,108
"2134NYL",502,58
"2150001",52,184
"2150002",265,471
"2150003",87,339
"2150004",446,1332
"2150005",132,634
"2150006",379,477
"2150007",541,858
"2150008",384,395
"2150009",517,866
"2150010",229,634
"2150011",127,807
"2150012",47,86
"2150013",570,1157
"2150014",160,438
"2150015",81,147
"2150016",141,1142
"2150017",155,693
"2150018",27,68
"2150019",44,57
"2150020",65,307
"2150021",46,106
"2150022",53,200
"2150023",211,588
"2150024",44,20
"2150025",390,659
"2150026",61,254
"2150027",66,251
"2150028",266,608
"2150029",147,196
"2150030",429,1143
"2150031",226,424
"2150032",259,689
"2150033",164,573
"2150034",122,284
"2150035",288,955
"2150036",346,1051
"2150037",115,273
"2150038",606,845
"2150039",131,537
"2150040",132,586
"2150041",201,778
"2150042",363,854
"2150043",377,1169
"2150044",56,287
"2150045",257,443
"2150046",33,82
"2150047",138,394
"2150048",232,836
"2150049",258,705
"2150050",209,753
"2150051",104,927
"2150052",783,1298
"2150053",664,1689
"2150054",336,406
"2150055",217,749
"2150056",283,800
"2150057",75,211
"2150058",350,815
"2150059",153,540
"2150060",308,714
"2150061",171,559
"2150062",837,859
"2150063",65,162
"2150064",94,530
"2150065",126,255
"2150066",145,360
"2150067",370,619
"2150068",354,830
"2150069",322,796
"2150070",137,403
"2150071A",8,37
"2150071B",3,14
"2150072",193,392
"2150073",773,694
"2150074",129,214
"2150075",17,16
"2150076",12,2
"2150077",179,497
"2150078",163,608
"2150079",90,350
"2150080",57,334
"2150081",792,1376
"2150082",0,3
"2150083",832,890
"2150084",118,267
"2150085",319,926
"2150086",113,171
"2150087",286,823
"2150088",301,1050
"2150089",1,4
"2150090",267,1568
"2150091",103,232
"2150092",20,66
"2150093",42,43
"2150094",171,499
"2150095",216,953
"2150096",616,803
"2150097A",255,608
"2150097B",16,39
"2150098",372,1027
"2150099",359,1237
"2150100",245,913
"2150101",290,237
"2150102",290,249
"2150103",634,773
"2150104",239,648
"2150105",418,941
"2150106",908,1530
"2150107",301,765
"2150108",184,752
"2150109",283,942
"2150110",93,275
"2150111",382,683
"2150112",105,474
"2150113",545,1013
"2150114",814,935
"2150115",304,839
"2150116",212,454
"2150117",264,1049
"2150118",241,506
"2150119",90,333
"2150120",226,641
"2150121",23,48
"2150122",220,900
"2150123",119,294
"2150124",302,398
"2150125",95,235
"2150126",225,438
"2150127",79,306
"2150128",170,613
"2150129",44,41
"2150130",188,231
"2150131",0,10
"2150132",67,264
"2150133",11,21
"2150134",557,578
"2150135",298,456
"2150136",299,496
"2150137",8,10
"2150138",24,118
"2150139",50,113
"2150140",1,5
"2150141",12,30
"2150142",4,7
"2150143",1,1
"2150144",6,6
"2150145",64,302
"2150146",87,459
"2150147",17,29
"2150148",8,17
"2150149",6,28
"2150150",145,276
"2150151",26,132
"2150152",369,595
"2150153",17,91
"2150154",243,654
"2150155",86,152
"2150156",159,606
"2150157",120,343
"2150158",374,838
"2150159",30,112
"2150160",71,89
"2150161",258,559
"2150162",16,27
"2150163",13,42
"2150164",399,462
"2150165",164,192
"2150166",84,129
"2150167",152,144
"2150168",83,108
"2150169",68,164
"2150170",44,220
"2150171",0,11
"2150172",8,8
"2150173",212,313
"2150174",71,272
"2150175",151,350
"2150176",113,315
"2150177A",43,137
"2150177B",11,32
"2150178",9,7
"2150179",30,93
"2150180",16,47
"2150181",330,163
"2150182",38,187
"2150183",53,139
"2150184",12,4
"2150185",0,0
"2150186",10,68
"2150187",277,647
"2150188",392,481
"2150189",86,289
"2150190",65,108
"2150191",54,119
"2150192",42,94
"2150193",40,111
"2150194A",257,397
"2150194B",31,46
"2150194C",13,20
"2150194D",22,34
"2150195",205,184
"2150196",180,216
"2150197",29,189
"2150198A",19,62
"2150198B",11,39
"2150198C",10,34
"2150198D",13,46
"2150198E",7,22
"2150198F",0,0
"2150199",500,701
"2150200",450,733
"2150201",251,343
"2150202",236,194
"2150203",566,968
"2150204",93,145
"2150205",16,56
"2150206",144,353
"2150207",504,704
"2150209",65,171
"2150210",22,110
"2150211",119,330
"2150212",99,94
"2150213",21,55
"2150215",136,273
"2150216",185,510
"2150217",12,49
"2150218",68,205
"2150219",94,275
"2150220",80,157
"2150221",177,361
"2150222",5,2
"2150223",87,106
"2150224",80,48
"2150225",26,88
"2150226",6,13
"2150227",169,798
"2150228",490,1849
"2150229",85,254
"2150230",110,155
"2150231",54,78
"2150232",95,280
"2150233",0,1
"2150234",229,852
"2150235",70,74
"2150236",160,142
"2150237",57,280
"2150238",21,25
"2150239",316,542
"2150240",102,220
"2150241",19,78
"2150242",6,7
"2150243",14,22
"2150244",98,185
"2150245A",19,54
"2150245B",4,9
"2150246",0,2
"2150247",23,42
"2150248",4,10
"2150249",57,101
"2150250",3,38
"2150251",0,6
"2150252",5,3
"2150253",50,116
"2150254",18,35
"2150255",35,63
"2150256",10,81
"2150257",28,177
"2170002",388,137
"2170003",244,279
"2170004",897,306
"2170005",249,42
"2170006",170,37
"2170007",268,54
"2170008",112,19
"2170009",162,43
"2170010",710,232
"2170012",357,62
"2170013",1151,216
"2170014",539,68
"2170015",167,36
"2170016",144,36
"2170018",85,12
"2170019",171,32
"2170020",449,73
"2170021",907,193
"2170022",726,162
"2170023",194,71
"2170024",486,156
"2170027",309,75
"2190011",348,56
"2190014",355,50
"2190015",197,19
"2190016",909,157
"2190021",699,178
"2190024",336,51
"2190032",535,191
"2190033",53,3
"2190035",59,24
"2190036",73,62
"2190043",172,16
"2190044",295,102
"2190045A",375,121
"2190045B",175,60
"2190046",258,55
"2210001",559,125
"2210002",1647,376
"2210003",1364,300
"2210004",1137,257
"2210005",1262,240
"2210007",558,103
"2210008",1316,286
"2210009",2060,414
"2210010",2420,498
"2210011",848,170
"2210012",777,172
"2210013",1581,351
"2210014",1635,379
"2210015",221,47
"2210016",2859,561
"2230001",919,268
"2230002",510,214
"2230003",646,247
"2230004",611,109
"2230005",234,33
"2230008",125,27
"2230011",332,85
"2230012",148,24
"2230013",365,90
"2230014",459,75
"2230016",533,85
"2230017",528,121
"223001A",752,176
"2230020",291,42
"2230023",133,19
"2230024",350,51
"2230025",177,24
"223002A",311,277
"2230036",439,54
"223003A",668,180
"223004A",733,216
"2250001",376,208
"2250002",566,216
"2250003",241,410
"2250004",692,240
"2250005",537,99
"2250006",428,153
"2250007",485,56
"2250008",198,37
"2250009",241,21
"2250010",148,33
"2250011",71,14
"2250012",73,12
"2250014",226,32
"2250015",126,34
"2250016",157,9
"2250017",170,12
"2250018",62,32
"2250019",272,71
"2250020",129,8
"2250021",153,43
"2250022",127,34
"2270011",232,204
"2270012",97,86
"2270013",78,66
"2270014",33,28
"2270016",20,18
"2270024",189,37
"2270025",525,101
"2270026",306,55
"2270032",41,12
"2270033",536,176
"2270034",488,155
"2270035",129,41
"2270037",0,0
"2270042",232,70
"2270045",251,82
"2270046",275,91
"2270103",37,29
"2270104",15,10
"2270105",0,0
"227012A",22,15
"2270205",566,108
"2270207",450,56
"2270208",77,5
"2270209",0,0
"2270304",181,54
"2270404",192,63
"2270405",82,20
"2270408",23,0
"2270409",256,18
"227207C",293,39
"2290001",147,93
"2290002",109,113
"2290004",89,54
"229003N",58,32
"229003S",57,49
"2310101",485,72
"2310102",550,112
"2310103",346,58
"2310104",457,86
"2310105",228,126
"2310106",537,291
"2310107",1065,420
"2310108",465,267
"2310109",554,114
"2310210",285,89
"2310211",293,76
"2310212",436,189
"2310213",457,58
"2310214",1277,253
"2310215",2315,516
"2310216",973,226
"2310217",760,152
"2310318",348,47
"2310319",800,121
"2310320",835,196
"2310321",543,126
"2310322",360,92
"2310323",1277,226
"2310324",968,243
"2310325",1250,288
"2310426",190,71
"2310427",635,655
"2310428",592,451
"2310429",195,60
"2310430",193,83
"2310431",187,76
"2310432",350,34
"2310433",211,609
"2310434",628,108
"2330011",911,83
"2330014",994,147
"2330021",1656,149
"2330023",141,29
"2330031",767,72
"2330033",684,84
"2330041",38,4
"2330042",622,190
"2350100",156,23
"2350200",151,23
"2350300",123,18
"2350400",191,31
"2370001",494,68
"2370002",520,65
"2370003",92,9
"2370004",426,47
"2370005",378,28
"2370006",567,79
"2390001",731,270
"2390002",922,147
"2390003",966,162
"2390004",160,27
"2390005",279,41
"2390006",225,70
"2390007",59,13
"2390008",244,40
"2390009",304,41
"2410001",25,8
"2410002",380,34
"2410003",473,97
"2410004",367,51
"2410005",81,15
"2410006",391,185
"2410007",200,143
"2410008",252,199
"2410009",908,108
"2410010",808,85
"2410011",242,30
"2410012",260,49
"2410013",223,58
"2410014",974,227
"2410015",1214,137
"2410016",127,7
"2410017",679,59
"2410019",989,226
"2410020",271,297
"2410021",524,267
"2430001",204,155
"2430002",125,93
"2430003",169,100
"2430004",77,39
"2430005",101,64
"2450001",60,727
"2450002",101,383
"2450003",48,815
"2450004",603,338
"2450005",378,450
"2450006",178,442
"2450007",304,421
"2450008",11,300
"2450009",1908,409
"2450010",45,212
"2450011",38,143
"2450012",5,227
"2450013",5,171
"2450014",26,580
"2450015",42,485
"2450016",19,146
"2450017",587,781
"2450018",14,696
"2450019",38,592
"2450020",44,430
"2450021",78,57
"2450022",812,1292
"2450023",307,943
"2450024",227,71
"2450025",916,258
"2450026",876,603
"2450027",345,389
"2450028",147,310
"2450029",856,117
"2450030",580,76
"2450031",638,91
"2450032",97,35
"2450033",715,382
"2450034",28,847
"2450035",404,80
"2450036",647,169
"2450037",1030,323
"2450038",1047,206
"2450039",20,946
"2450040",1286,283
"2450041",59,27
"2450042",1084,270
"2450043",924,266
"2450044",153,203
"2450045",123,346
"2450046",124,348
"2450047",146,434
"2450048",47,304
"2450049",26,139
"2450050",112,831
"2450051",11,138
"2450052",5,219
"2450053",40,567
"2450054",10,210
"2450055",8,158
"2450056",1487,341
"2450057",9,324
"2450058",24,11
"2450059",8,452
"2450060",1205,384
"2450061",435,363
"2450062",1068,490
"2450063",23,626
"2450064",83,355
"2450065",889,309
"2450066",616,183
"2450067",110,973
"2450068",705,588
"2450069",1221,429
"2450070",380,640
"2450071",41,12
"2450072",465,757
"2450073",1066,460
"2450074",1367,256
"2450075",42,346
"2450076",50,290
"2450077",29,581
"2450078",334,654
"2450079",755,469
"2450080",119,23
"2450081",10,326
"2450082",378,667
"2450083",541,139
"2450084",23,548
"2450085",77,676
"2450086",357,298
"2450087",75,459
"2450088",170,366
"2450089",53,146
"2450090",13,19
"2450091",360,49
"2450092",458,241
"2450093",52,258
"2450094",916,388
"2450095",183,106
"2450096",33,172
"2450097",0,0
"2450098",125,78
"2450099",83,223
"2450100",981,688
"2450101",1,0
"2450102",62,22
"2450103",16,3
"2450104",42,8
"2450105",17,58
"2450106",8,7
"2450107",1,0
"2450108",242,39
"2450109",96,25
"2470001",47,259
"2470002",118,267
"2470003",91,221
"2470004",74,294
"2470005",2,7
"2490001",54,121
"2490002",176,66
"2490003",479,144
"2490004",192,298
"2490005",27,84
"2490006",120,266
"2490007",656,503
"2490008",959,318
"2490009",71,151
"2490010",158,596
"2490011",94,192
"2490012",272,476
"2490013",29,139
"2490014",62,43
"2490015",246,351
"2490016",56,240
"2490017",236,426
"2490018",61,91
"2490019",121,31
"2490020",43,224
"2490022",145,424
"2510001",421,82
"2510002",2044,529
"2510003",1775,571
"2510004",2557,922
"2510005",1854,488
"2510006",259,52
"2510007",2970,793
"2510008",2101,1126
"2510009",531,93
"2510010",1281,434
"2510011",1839,403
"2510012",1327,302
"2510013",878,222
"2510014",227,36
"2510015",758,154
"2510016",268,75
"2510017",1062,439
"2510018",1478,513
"2510019",2653,746
"2510020",270,222
"2510021",740,155
"2510022",1422,595
"2510023",1003,192
"2510024",582,143
"2510025",527,179
"2510026",679,127
"2510027",1099,191
"2510028",873,194
"2510029",464,111
"2510030",535,95
"2510031",593,117
"2510032",1341,335
"2510033",530,105
"2510034",830,311
"2510035",1877,415
"2510036",256,177
"2530101",520,111
"2530102",44,32
"2530103",161,60
"2530201",625,203
"2530202",101,31
"2530203",141,16
"2530301",129,14
"2530302",501,65
"2530303",603,75
"2530401",685,98
"2530402",533,148
"2550001",422,344
"2550002",90,16
"2550003",99,5
"2550004",342,185
"2550005",226,123
"2550006",166,14
"2550007",327,47
"2550008",90,35
"2550009",113,21
"2550010",156,14
"2550011",230,95
"2550012",254,116
"2550013",30,1
"2550014",154,215
"2550015",24,19
"2570001",858,473
"2570002",520,149
"2570003",1760,782
"2570004",1839,643
"2570005",290,687
"2570006",925,204
"2570007",1692,1229
"2570008",555,375
"2570009",725,204
"2570010",1132,195
"2570011",816,310
"2570012",785,152
"2570013",958,722
"2570014",1187,730
"2570015",1151,220
"2570016",1259,221
"2570017",932,153
"2570018",968,230
"2570019",973,373
"2570020",579,177
"2570021",963,188
"2570022",570,95
"2570023",456,136
"2570024",550,210
"2570025",287,172
"2570026",139,468
"2570027",1466,644
"2570028",619,169
"2570029",817,957
"2570030",735,180
"2591010",1188,420
"2591110",2227,537
"2592020",1344,211
"2592080",1917,436
"2592120A",2138,552
"2592120B",26,6
"2593030",1413,259
"2593040",1799,498
"2593060",358,67
"2594050",1245,393
"2594070",195,38
"2594100",1735,445
"2610001",22,14
"2610002",18,23
"2610003",4,12
"2610004",24,5
"2610005",4,3
"2610006",6,8
"2630101",88,15
"2630201",18,2
"2630202",41,4
"2630301",50,11
"2630302",21,1
"2630401",57,13
"2650101",1434,357
"2650107",489,103
"2650109",729,172
"2650113",808,269
"2650118",180,55
"2650119",924,380
"2650202",1137,224
"2650211",465,165
"2650215",1493,336
"2650220",1506,320
"2650303",549,118
"2650308",253,86
"2650312",1506,636
"2650314",582,414
"2650404",554,74
"2650405",904,263
"2650406",1538,358
"2650410",167,14
"2650416",862,198
"2650417",848,240
"2670001",366,47
"2670002",163,26
"2670003",141,17
"2670004",180,26
"2670006",175,17
"2670007",210,20
"2670009",261,38
"2690001",30,1
"2690002",20,0
"2690003A",9,1
"2690003B",24,0
"2690004",33,3
"2710001",255,60
"2710002",140,106
"2710003",99,99
"2710004",295,59
"2730011",515,382
"2730012",405,241
"2730013",277,405
"2730014",82,125
"2730021",31,100
"2730022",212,251
"2730023",193,333
"2730024",259,295
"2730031",401,281
"2730032",240,264
"2730033",249,148
"2730034",202,118
"2730035",317,220
"2730041",41,147
"2730042",68,243
"2730043",263,396
"2730044",86,140
"2730045",59,257
"2750101",256,55
"2750201",92,17
"2750202",117,30
"2750301",151,45
"2750302",36,4
"2750401",184,75
"277001B",134,9
"277001C",142,22
"277001D",272,39
"277001E",360,76
"277001F",430,50
"277001G",222,45
"277001H",291,29
"277001I",50,8
"277002D",272,74
"277002E",267,55
"277002F",99,15
"277002G",286,83
"277003D",402,45
"277003E",654,70
"277003F",271,34
"277003G",284,38
"277003I",656,90
"277004B",815,136
"277004C",146,31
"277004D",775,59
"277004E",338,48
"277004F",805,144
"277004G",984,151
"2771A3B",260,135
"2771A5A",367,265
"2771E7C",460,127
"2772A1A",134,323
"2772B2A",160,315
"2772C3A",367,262
"2773C7G",1035,445
"2773H3C",257,94
"2774A6E",594,212
"2790001",333,81
"2790002",101,82
"2790003",263,46
"2790004",36,1
"2790005",157,37
"2790006",122,34
"2790007",43,3
"2790008",786,169
"2790009",311,137
"2790010",170,26
"2790011",309,44
"2790012",96,7
"2810001",739,282
"2810002",1555,315
"2810003",635,223
"2810004",545,122
"2810005",311,32
"2810006",281,35
"2810007",348,75
"2810008",759,203
"2810009",774,197
"2830001",224,200
"2830002",48,124
"2830003",90,188
"2830004",49,4
"2830005",112,165
"2830006",78,86
"283003A",8,1
"2850001",516,67
"2850002",713,150
"2850007",141,35
"2850008",406,59
"2850009",656,102
"2850011",174,22
"2850012",185,23
"2850015",94,18
"2850016",263,31
