CNTYVTD,CraddickR_18G_RR Comm 1,McAllenD_18G_RR Comm 1,WrightL_18G_RR Comm 1
"0350007",361,58,12
"0350008",1087,221,34
"0350009",447,106,7
"0350010",628,138,22
"0350011",424,76,12
"0370007",1227,638,40
"0370009",857,419,30
"0370010",921,196,17
"0370011",1217,174,28
"0370012",1082,171,35
"0370013",67,18,2
"0370014",1109,427,44
"0370015",273,31,6
"0370016",633,87,16
"0370017",747,110,20
"0370018",1004,200,31
"0370019",394,26,6
"037001A",57,366,9
"037001B",121,357,6
"0370020",212,111,4
"0370021",116,23,2
"0370022",156,38,6
"0370024",239,54,10
"0370025",539,114,24
"0370027",330,20,8
"0370028",401,23,10
"0370029",160,19,6
"037002A",118,344,8
"037002B",74,96,6
"037002C",59,380,14
"037002D",13,17,1
"0370030",552,160,18
"037003A",483,250,29
"037003B",150,202,10
"037004A",165,218,10
"037004B",547,273,25
"037004C",102,138,5
"037004D",6,8,0
"037004E",0,0,0
"037005A",43,57,2
"037005B",0,0,0
"037005C",1941,500,66
"037006A",894,279,24
"037006B",984,233,37
"037008A",135,228,7
"037008B",1189,338,38
"037008C",531,129,11
"0390001",1284,566,53
"0390002",1527,494,47
"0390003",1791,522,62
"0390004",1288,366,30
"0390005",766,237,14
"0390006",638,94,11
"0390007",293,545,16
"0390008",445,107,13
"0390009",278,149,8
"0390010",443,67,8
"0390011",1018,612,32
"0390012",1149,652,52
"0390013",1480,926,63
"0390014",2026,609,52
"0390015",1191,140,27
"0390016",1498,587,51
"0390017",475,525,24
"0390019",356,411,19
"0390020",645,150,17
"0390021",1059,1253,44
"0390022",1817,442,70
"0390023",1479,574,53
"0390024",1757,560,59
"0390025",779,223,25
"0390026",1064,834,47
"0390027",835,624,23
"0390028",2059,1225,97
"0390029",761,1205,51
"0390030",1488,278,45
"0390031",521,94,8
"0390032",1107,268,27
"0390033",751,318,16
"0390034",1636,522,47
"0390035",778,136,16
"0390036",1567,929,79
"0390038",326,98,15
"0390039",1256,579,63
"0390040",1981,1025,69
"0390042",215,110,4
"0390043",1545,588,70
"0390044",1477,1797,72
"0390045",1370,472,70
"0390046",916,373,46
"0390047",845,531,46
"0390048",856,441,30
"0390049",787,100,17
"0390050",1301,2757,94
"0390051",1607,482,49
"0390052",1199,495,44
"0390053",287,837,29
"0390054",674,1010,54
"0390055",1161,447,30
"0390056",1675,658,50
"0390057",1334,326,40
"0390058",521,600,20
"0390059",961,2177,67
"0390060",1566,1471,78
"0390061",2321,908,73
"0390062",901,1183,61
"0390063",497,1575,52
"0390064",15,5,0
"0390067",572,1367,42
"0390068",645,1226,52
"0410001",999,188,36
"0410002",2422,705,120
"0410003",319,168,23
"0410004",61,519,9
"0410005",837,174,39
"0410006",488,74,19
"0410007",863,140,34
"0410008",368,415,60
"0410009",413,325,34
"0410010",1269,678,97
"0410011",607,686,100
"0410012",1541,837,135
"0410013",826,448,55
"0410014",253,643,38
"0410015",1253,514,74
"0410016",100,317,20
"0410017",621,740,86
"0410018",34,176,8
"0410019",56,59,5
"0410020",859,1090,86
"0410021",307,465,38
"0410022",64,89,5
"0410023",51,6,2
"0410024",672,554,64
"0410025",44,334,12
"0410026",1277,476,62
"0410027",1648,287,91
"0410028",209,21,6
"0410029",335,169,18
"0410030",461,518,41
"0410031",1248,972,138
"0410032",0,0,0
"0410033",240,411,30
"0410034",932,1060,126
"0410035",1453,1916,155
"0410036",991,784,97
"0410037",95,12,1
"0410038",7,99,1
"0410039",1531,987,122
"0410040",2002,948,117
"0410041",2277,728,85
"0410042",0,0,0
"0410043",5,9,0
"0410044",55,6,4
"0410045",44,15,3
"0410046",96,65,9
"0410047",102,78,11
"0410048",96,25,5
"0410049",48,122,9
"0410052",8,2,2
"0410053",0,1,0
"0410056",6,2,0
"0410057",25,68,6
"0410058",228,127,15
"0410059",13,2,0
"0410060",64,5,0
"0410061",31,7,1
"0410062",1,0,0
"0410063",2124,758,125
"0410064",0,0,0
"0410065",68,16,1
"0410067",90,35,7
"0410068",0,0,0
"0410069A",1786,795,84
"0410069B",6,2,0
"0410070",236,183,31
"0410071",63,13,3
"0410072",8,5,1
"0410074",72,133,7
"0410077",110,74,9
"0410078",108,16,4
"0410079",22,19,2
"0410080A",1419,504,114
"0410080B",4,1,0
"0410081",24,11,1
"0410082",152,44,11
"0410083",0,0,0
"0430001",680,407,78
"0430002",313,358,39
"0430003",109,121,14
"0430004",406,419,48
"0430005",27,43,7
"0430006",163,198,25
"0430007",11,49,6
"0430008",121,303,35
"0450001",73,8,1
"0450002",141,19,0
