CNTYVTD,BrownR_18G_Sup Ct 6,ChengD_18G_Sup Ct 6
"0390003",1811,564
"0390004",1315,373
"0390005",775,242
"0390006",639,103
"0390007",304,549
"0390008",454,112
"0390009",272,164
"0390010",448,69
"0390011",1017,645
"0390012",1144,712
"0390013",1470,995
"0390014",2066,627
"0390015",1214,147
"0390016",1516,622
"0390017",482,541
"0390019",366,420
"0390020",660,154
"0390021",1062,1282
"0390022",1836,493
"0390023",1500,599
"0390024",1765,605
"0390025",779,242
"0390026",1065,874
"0390027",827,647
"0390028",2069,1314
"0390029",756,1264
"0390030",1512,294
"0390031",523,98
"0390032",1124,273
"0390033",761,323
"0390034",1647,554
"0390035",785,148
"0390036",1594,995
"0390038",330,108
"0390039",1275,618
"0390040",1985,1074
"0390042",221,107
"0390043",1567,625
"0390044",1461,1892
"0390045",1399,515
"0390046",923,407
"0390047",854,560
"0390048",868,454
"0390049",794,114
"0390050",1264,2895
"0390051",1617,511
"0390052",1208,535
"0390053",286,868
"0390054",687,1052
"0390055",1172,465
"0390056",1690,693
"0390057",1351,347
"0390058",514,630
"0390059",965,2246
"0390060",1569,1552
"0390061",2353,950
"0390062",882,1267
"0390063",496,1629
"0390064",15,5
"0390067",563,1417
"0390068",650,1273
"0410001",1007,211
"0410002",2460,782
"0410003",332,175
"0410004",69,521
"0410005",847,203
"0410006",497,83
"0410007",869,161
"0410008",381,459
"0410009",406,362
"0410010",1298,750
"0410011",651,739
"0410012",1562,938
"0410013",843,484
"0410014",266,669
"0410015",1260,567
"0410016",106,327
"0410017",637,790
"0410018",32,187
"0410019",55,65
"0410020",852,1186
"0410021",306,501
"0410022",61,98
"0410023",51,7
"0410024",672,616
"0410025",48,339
"0410026",1288,524
"0410027",1667,353
"0410028",210,25
"0410029",345,181
"0410030",476,546
"0410031",1257,1094
"0410032",0,0
"0410033",242,438
"0410034",924,1188
"0410035",1433,2086
"0410036",1008,849
"0410037",97,12
"0410038",7,103
"0410039",1532,1098
"0410040",2004,1050
"0410041",2278,806
"0410042",0,0
"0410043",4,10
"0410044",56,9
"0410045",46,16
"0410046",99,71
"0410047",109,82
"0410048",101,29
"0410049",48,131
"0410052",10,2
"0410053",0,1
"0410056",6,2
"0410057",28,70
"0410058",231,140
"0410059",12,3
"0410060",61,7
"0410061",31,8
"0410062",1,0
"0410063",2187,819
"0410064",0,0
"0410065",69,15
"0410067",96,35
"0410068",0,0
"0410069A",1801,866
"0410069B",6,3
"0410070",245,205
"0410071",67,12
"0410072",9,5
"0410074",75,137
"0410077",108,84
"0410078",112,17
"0410079",23,19
"0410080A",1465,581
"0410080B",5,2
"0410081",24,13
"0410082",156,49
"0410083",0,0
"0430001",692,457
"0430002",323,382
"0430003",112,127
"0430004",419,443
"0430005",26,50
"0430006",182,198
"0430007",14,51
"0430008",134,321
"0450001",70,8
"0450002",144,16
"0450003",132,11
