CNTYVTD,DevineR_18G_Sup Ct 4,SandillD_18G_Sup Ct 4
"0410069A",1799,866
"0410069B",6,3
"0410070",240,208
"0410071",68,11
"0410072",8,6
"0410074",74,139
"0410077",112,79
"0410078",114,15
"0410079",23,20
"0410080A",1462,578
"0410080B",5,2
"0410081",24,13
"0410082",158,47
"0410083",0,0
"0430001",704,449
"0430002",326,376
"0430003",114,126
"0430004",423,442
"0430005",16,50
"0430006",177,204
"0430007",15,50
"0430008",139,314
"0450001",71,8
"0450002",143,17
"0450003",134,10
"0450004",170,21
"0450006",29,6
"0470001",41,120
"0470002",63,208
"0470003",90,256
"0470004",33,62
"0470005",19,25
"0470006",62,271
"0470007",28,41
"0470008",68,197
"0470009",54,137
"0490101",1197,187
"0490105",842,127
"0490109",165,10
"0490113",899,132
"0490202",434,109
"0490204",315,139
"0490212",442,44
"0490214",355,52
"0490215",157,7
"0490303",508,99
"0490306",922,95
"0490307",372,40
"0490308",311,23
"0490316",140,9
"0490318",838,103
"0490410",1199,135
"0490411",417,131
"0490417",1004,114
"0510113",354,53
"0510114",665,222
"0510203",203,54
"0510204",363,58
"0510207",164,83
"0510211",484,103
"0510215",176,46
"0510301",597,162
"0510305",286,65
"0510308",219,57
"0510309",400,78
"0510406",329,223
"0510410",840,207
"0530001",797,146
"0530002",1183,390
"0530003",437,178
"0530004",1086,386
"0530005",510,187
"0530006",301,88
"0530007",339,81
"0530008",604,127
"0530009",1342,320
"0530010",680,184
"0530011",220,26
"0530012",780,218
"0530013",416,130
"0530014",281,56
"0530015",348,90
"0530016",253,60
"0530017",907,187
"0530018",474,184
"0530019",1861,490
"0530020",1432,572
"0550100",116,149
"0550101",173,210
"0550102",280,118
"0550103",668,554
"0550104",204,81
"0550105",25,34
"0550107",0,0
"0550108",27,28
"0550109",12,2
"0550110",37,27
"0550111",257,234
"0550112",0,0
"0550113",0,0
"0550114",0,0
"0550115",0,0
"0550116",0,0
"0550117",0,0
"0550118",46,34
"0550201",302,161
"0550202",400,198
"0550203",430,159
"0550204",577,172
"0550205",147,29
"0550206",262,177
"0550301",261,293
"0550302",366,388
"0550303",253,193
"0550305",158,92
"0550306",80,82
"0550307",0,0
"0550400",24,19
"0550401",111,285
"0550402",292,539
"0550404",337,373
"0550405",364,225
"0550407",2,4
"0550408",2,6
"0550409",13,5
"0550410",0,0
"0550412",49,93
"0570001",43,103
"0570002",134,195
"0570003",11,18
"0570004",114,94
"0570005",114,32
"0570006",202,68
"0570007",120,132
"0570008",62,112
"0570009",9,14
"0570010",40,28
"0570011",143,50
"0570012",542,180
"0570013",7,11
"0570014",46,32
"0570015",53,42
"0570016",322,182
"0570017",216,125
"0570018",132,48
"0570019",261,50
"0570020",19,11
"0570021",60,18
"0570022",122,33
"0570023",129,41
"0570024",617,130
"0570025",500,80
"0590001",1052,155
"0590002",914,115
"0590003",973,122
"0590004",794,53
"0590005",75,6
"0590006",359,56
"0590007",240,31
"0610001",373,416
"0610002",161,99
"0610003",316,544
"0610004",622,765
"0610005",44,157
"0610006",66,304
"0610007",39,99
"0610008",37,129
"0610009",146,515
"0610010",110,383
"0610011",164,441
"0610012",353,598
"0610013",64,146
"0610014",225,553
"0610015",263,578
"0610016",206,231
"0610017",344,778
"0610018",260,539
"0610019",214,399
"0610020",306,240
"0610021",252,536
"0610022",239,553
"0610023",48,38
"0610024",96,281
"0610025",91,180
"0610026",579,556
"0610027",231,641
"0610028",262,308
"0610029",682,492
"0610030",293,202
"0610031",54,82
"0610032",489,531
"0610033",73,136
"0610034",44,51
"0610035",324,272
"0610036",359,452
"0610037",88,354
"0610038",165,200
"0610039",119,267
"0610040",288,541
"0610041",383,962
"0610042",99,263
"0610043",124,257
"0610044",906,690
"0610045",138,472
"0610046",389,921
"0610047",76,259
"0610048",231,367
"0610049",106,163
"0610050",802,951
"0610051",124,214
"0610052",744,440
"0610053",206,694
"0610054",526,1251
"0610055",432,758
"0610056",451,408
"0610057",158,127
"0610058",644,629
"0610059",52,134
"0610060",96,189
"0610061",304,605
"0610062",297,785
"0610063",186,515
"0610064",525,529
"0610065",388,608
"0610066",825,861
"0610067",910,632
"0610068",155,491
"0610069",283,874
"0610070",65,257
"0610071",233,833
"0610072",416,838
"0610073",515,1098
"0610074",380,923
"0610075",211,736
"0610076",185,307
"0610077",169,684
"0610078",580,649
"0610079",609,661
"0610080",1170,880
"0610081",254,311
"0610082",166,505
"0610083",235,257
"0610084",490,440
"0610085",262,242
"0610086",127,330
"0610087",542,356
"0610095",110,211
"0610096",105,374
"0610097",60,180
"0610098",647,1436
"0610099",61,70
"0610100",653,1385
"0610101",117,205
"0610102",319,479
"0610103",38,84
"0610104",22,46
"0610105",5,19
"0610106",396,624
"0610107",64,145
"0610108",0,0
"0610109",0,0
"0631001",673,263
"0632002",926,235
"0633003",420,371
"0634004",733,219
"0650101",265,30
"0650102",50,0
"0650103",205,36
"0650201",546,56
"0650301",352,40
"0650302",174,17
"0650401",395,57
"0650402",172,4
"0670001",1316,342
"0670002",174,56
"0670004",162,70
"0670005",382,87
"0670006",254,30
"0670007",786,210
"0670009",412,152
"0670011",249,100
"0670012",313,126
"0670014",943,173
"0670015",294,40
"0670016",237,29
"0670017",1431,254
"0670018",288,13
"0670019",227,25
"0670021",142,15
"067013T",424,307
"067020E",117,17
"0690101",108,108
"0690105",24,4
"0690201",122,117
"0690206",66,13
"0690301",371,86
"0690307",76,7
"0690401",82,50
"0690408",316,23
"0710001",286,59
"0710002",256,141
"0710003",161,102
"0710004",1800,236
"0710005",1201,190
"0710006",809,253
"0710007",937,194
"0710008",2203,314
"0710009",149,28
"0710010",2065,304
"0710011",937,279
"0710012",513,176
"0710013",0,0
"0710014",182,31
"0710015",685,430
"0730012",574,134
"0730013",557,60
"0730014",737,67
"0730015",1163,404
"0730022",228,79
"0730023",526,65
"0730024",652,218
"0730025",407,90
"0730026",393,157
"0730027",493,145
"0730028",300,30
